comparison,delta,left_method,left_metric,metric_used,model,right_method,right_metric,task
prompt_vs_direct,0.009370,prompt,0.035032,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.025662,has_vul
qlora_vs_direct,0.633384,qlora,0.772252,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.138868,has_vul
full_vs_direct,0.736654,full,0.875522,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.138868,has_vul
full_vs_qlora,0.103270,full,0.875522,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,qlora,0.772252,has_vul
prompt_vs_direct,0.000045,prompt,0.083655,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.083610,vul_line
qlora_vs_direct,0.023180,qlora,0.106790,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.083610,vul_line
full_vs_direct,0.304790,full,0.388400,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.083610,vul_line
full_vs_qlora,0.281610,full,0.388400,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,qlora,0.106790,vul_line
prompt_vs_direct,-0.048889,prompt,0.052721,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.101610,vul_type
qlora_vs_direct,0.317538,qlora,0.419148,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.101610,vul_type
full_vs_direct,0.372568,full,0.474178,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.101610,vul_type
full_vs_qlora,0.055030,full,0.474178,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,qlora,0.419148,vul_type
prompt_vs_direct,0.025143,prompt,0.426455,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.401312,has_vul
qlora_vs_direct,0.374932,qlora,0.776244,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.401312,has_vul
prompt_vs_direct,0.017376,prompt,0.101031,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.083655,vul_line
qlora_vs_direct,0.295331,qlora,0.378986,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.083655,vul_line
prompt_vs_direct,-0.039398,prompt,0.062155,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.101553,vul_type
qlora_vs_direct,0.333257,qlora,0.434810,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-8b-code-base,direct,0.101553,vul_type
